"first_name","last_name","gender","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","deceased_indicator","owns_car","tenure","address","postcode","state","country","property_valuation","...17","...18","...19","...20","...21","Rank","Value","Age"
"Chickie","Brister","Male",86,"1957-07-12","General Manager","Manufacturing","Mass Customer","N","Yes",14,"45 Shopko Center",4500,"QLD","Australia",6,0.72,0.9,1.125,0.95625,1,1,1.71875,63
"Morly","Genery","Male",69,"1970-03-22","Structural Engineer","Property","Mass Customer","N","No",16,"14 Mccormick Park",2113,"NSW","Australia",11,0.43,0.43,0.5375,0.456875,1,1,1.71875,50
"Lucine","Stutt","Female",64,"1979-01-28","Account Representative III","Manufacturing","Affluent Customer","N","Yes",5,"207 Annamark Plaza",4814,"QLD","Australia",1,0.62,0.775,0.775,0.775,4,4,1.703125,42
"Melinda","Hadlee","Female",34,"1965-09-21","Financial Analyst","Financial Services","Affluent Customer","N","No",19,"115 Montana Place",2093,"NSW","Australia",9,0.84,0.84,1.05,1.05,4,4,1.703125,55
"Druci","Brandli","Female",39,"1951-04-29","Assistant Media Planner","Entertainment","High Net Worth","N","Yes",22,"89105 Pearson Terrace",4075,"QLD","Australia",7,0.41,0.5125,0.5125,0.5125,6,6,1.671875,69
"Rutledge","Hallt","Male",23,"1976-10-06","Compensation Analyst","Financial Services","Mass Customer","N","No",8,"7 Nevada Crossing",2620,"NSW","Australia",7,0.63,0.63,0.63,0.5355,6,6,1.671875,44
"Nancie","Vian","Female",74,"1972-12-27","Human Resources Assistant II","Retail","Mass Customer","N","Yes",10,"85 Carioca Point",4814,"QLD","Australia",5,0.85,1.0625,1.0625,0.903125,8,8,1.65625,48
"Duff","Karlowicz","Male",50,"1972-04-28","Speech Pathologist","Manufacturing","Mass Customer","N","Yes",5,"717 West Drive",2200,"NSW","Australia",10,0.44,0.55,0.6875,0.584375,8,8,1.65625,48
"Barthel","Docket","Male",72,"1985-08-02","Accounting Assistant IV","IT","Mass Customer","N","Yes",17,"80 Scofield Junction",4151,"QLD","Australia",5,0.54,0.675,0.675,0.57375,10,10,1.640625,35
"Rockwell","Matson","Male",94,"1995-01-01","Programmer Analyst I","Retail","High Net Worth","N","No",3,"3682 Crowley Point",4573,"QLD","Australia",6,1.03,1.03,1.2875,1.2875,10,10,1.640625,26
"Wheeler","Winward","Male",48,"1999-08-30","Environmental Specialist","Manufacturing","Mass Customer","N","No",10,"3 Golden Leaf Point",3216,"VIC","Australia",8,0.63,0.63,0.63,0.5355,12,12,1.625,21
"Melba","Spellacy","Female",38,"1976-12-09","VP Marketing","Health","Mass Customer","N","No",4,"0591 Anzinger Circle",2232,"NSW","Australia",10,0.42,0.42,0.525,0.44625,14,14,1.59375,44
"Mandie","Feares","Female",32,"1964-04-19","Clinical Specialist","Health","Mass Customer","N","No",10,"39 Kedzie Pass",4053,"QLD","Australia",8,0.85,0.85,0.85,0.7225,14,14,1.59375,56
"Marcelia","Monkleigh","Female",61,"1993-08-22","Associate Professor","Manufacturing","Mass Customer","N","Yes",4,"610 Swallow Street",4051,"QLD","Australia",6,0.79,0.9875,0.9875,0.839375,17,17,1.546875,27
"Odilia","Quick","Female",65,"1938-11-09","General Manager","Manufacturing","Affluent Customer","N","Yes",11,"1550 Russell Way",2222,"NSW","Australia",11,0.87,1.0875,1.359375,1.359375,19,19,1.53125,82
"Karly","Willavize","Female",2,"1954-08-12","Internal Auditor","Manufacturing","High Net Worth","N","No",12,"193 North Point",2190,"NSW","Australia",10,0.54,0.54,0.675,0.675,19,19,1.53125,66
"Teddie","Burchill","Male",11,"1968-12-21","Programmer I","Manufacturing","Mass Customer","N","Yes",13,"321 Raven Plaza",2161,"NSW","Australia",9,0.45,0.5625,0.703125,0.59765625,21,21,1.515625,52
"Gaston","Dallaghan","Male",44,"1993-09-29","Financial Analyst","Financial Services","Mass Customer","N","Yes",8,"656 Fuller Street",2783,"NSW","Australia",7,0.88,1.1,1.1,0.935,21,21,1.515625,27
"Otis","Ottey","Male",26,"1998-02-05","Quality Engineer","n/a","Mass Customer","N","No",3,"1562 Merchant Street",4744,"QLD","Australia",4,0.63,0.63,0.63,0.5355,23,23,1.5,23
"Brena","Schnitter","Female",78,"1982-10-11","Account Executive","Manufacturing","Mass Customer","N","No",4,"67 Shelley Street",4703,"QLD","Australia",5,0.63,0.63,0.63,0.5355,25,25,1.484375,38
"Dyane","Burwell","Female",19,"1952-06-27","Engineer II","Retail","Mass Customer","N","Yes",7,"51 Hooker Court",2640,"NSW","Australia",2,0.94,1.175,1.175,0.99875,26,26,1.46875,68
"Claudine","Barstowk","Female",71,"1966-07-20","Nurse","Property","High Net Worth","N","Yes",5,"1859 Forest Circle",4000,"QLD","Australia",11,0.52,0.65,0.8125,0.8125,26,26,1.46875,54
"Blinnie","Roze","Female",84,"1960-12-10","Librarian","Entertainment","High Net Worth","N","No",11,"44557 Rutledge Court",4171,"QLD","Australia",7,0.95,0.95,1.1875,1.1875,26,26,1.46875,60
"Brien","Heaton","Male",70,"1951-11-28","Clinical Specialist","Health","Mass Customer","N","Yes",12,"8 Novick Trail",2470,"NSW","Australia",2,0.44,0.55,0.55,0.4675,32,32,1.453125,69
"Sybilla","MacCart","Female",88,"1987-01-15","Paralegal","Financial Services","Mass Customer","N","Yes",7,"74 Welch Pass",2620,"NSW","Australia",7,0.51,0.6375,0.796875,0.67734375,32,32,1.453125,34
"Mikel","McNess","Male",71,"1981-09-22","Nurse","n/a","Mass Customer","N","No",9,"3 Pleasure Drive",4122,"QLD","Australia",9,0.46,0.46,0.575,0.48875,32,32,1.453125,39
"Arleen","Casbolt","Female",48,"1975-05-10","Senior Quality Engineer","Financial Services","Affluent Customer","N","Yes",13,"41042 Lotheville Crossing",4817,"QLD","Australia",1,0.85,1.0625,1.0625,1.0625,36,36,1.44765625,45
"Farlie","Petford","Male",76,"1968-03-25","Recruiting Manager","n/a","High Net Worth","N","No",13,"2330 Butternut Trail",2017,"NSW","Australia",10,0.72,0.72,0.9,0.9,36,36,1.44765625,52
"Colene","Fishleigh","Female",24,"1985-03-14","Design Engineer","Financial Services","Mass Customer","N","No",3,"44 Darwin Lane",3149,"VIC","Australia",10,1.02,1.02,1.275,1.08375,42,42,1.421875,35
"Corinna","Suggey","Female",52,"1966-09-18","Design Engineer","n/a","Affluent Customer","N","No",9,"938 Ilene Road",2761,"NSW","Australia",8,0.98,0.98,0.98,0.98,44,44,1.42109375,54
"Gipsy","Ewestace","Female",29,"1956-08-30","Business Systems Development Analyst","Retail","High Net Worth","N","Yes",5,"08708 Moulton Park",2034,"NSW","Australia",12,0.45,0.5625,0.703125,0.703125,46,46,1.4078125,64
"Sheena","Kybbye","Female",14,"1956-07-16","Paralegal","Financial Services","Affluent Customer","N","Yes",19,"306 Clemons Junction",4852,"QLD","Australia",1,0.64,0.8,0.8,0.8,46,46,1.4078125,64
"Jobina","Gobourn","Female",85,"1994-12-04","VP Quality Control","n/a","High Net Worth","N","Yes",14,"18 Grim Road",4305,"QLD","Australia",4,0.74,0.925,1.15625,1.15625,46,46,1.4078125,26
"Gale","Disbrow","Female",59,"1977-05-14","Cost Accountant","Financial Services","Mass Customer","N","Yes",17,"169 Bashford Drive",3741,"VIC","Australia",7,0.69,0.8625,0.8625,0.733125,46,46,1.4078125,43
